分类1,分类2,报送分类,TICKER,ISIN,债券名称,AccSection,Portfolio,CCY,Nominal（原币）,Nominal（USD）,Nominal(亿原币）,Nominal(亿美元）,摊余成本（USD）,摊余成本（亿USD）,Maket Value（USD）,Duration,Size*Dur,WAL,SIZE*WAL,EffectiveYield,Size*Yld, IRSCCSAmt ,IRSCCSYield,Real Yield,Size*Real Yld,FTP Rate,Size*FTP,Carry,Size*Carry,PL,PL2,估亏比例,Maturity,NXT_CALL_DT,tmp1,MaturityWithCall(not used),year,month,date,MaturityWithCall,2025,2026,Maturity_Check,平均买价,摊余成本价格,市场价格,国别风险,TLAC债券,FLOATER,INSTRUMENT,是否repo,repo占比,实际repo,实际repo%,绿债,现价*规模（美元）, 久期 ,凸性,OAS,PVBP（万美元）,IRS PV01（万美元）,CCS PV01（万美元）,总PVBP（万美元）,,是否私募
Rates,Govs,外国政府/主权债券,T,US912828X885,T 2 3/8 05/15/27,HTM,HOBJIFIRH001,USD," 40,000,000.00 "," 40,000,000.00 ", 0.40 , 0.40 ," 40,073,176.20 ", 0.40 ," 39,414,080.00 ", 1.291 ," 51,731,493.689 ", -   , -   , 2.2462 ," 90,014,063.4744 ", -   , -   , 2.25 ," 90,014,063.4744 ", 1.3701 ," 54,902,255.0520 ", 88 ," 3,511,180,842.2448 "," -659,096.20 "," -659,096.20 ",-1.6%,15/05/2027,#N/A Field Not Applicable,#VALUE!,2027/5/15,2027,5,15,2027/5/15, -   ," 351,118.08 ", -   , 101.17 , 100.18 , 98.54 , US , #N/A N/A , N ,USTN 2.375 150527,,,,,N," 39,414,080.00 ", 1.29 , 0.02 , 1.29 , 0.5088 , -   , -   , 0.51 ,0.508806495,N
Rates,China Sovereign,中国（含香港政府）主权债券,CHINA,HK0000789559,CHINA 0 5/8 11/17/33,HTM,HOBJIFIRH101,EUR," 83,350,000.00 "," 97,659,476.01 ", 0.83 , 0.98 ," 83,833,030.65 ", 0.84 ," 82,984,186.55 ", 7.431 ," 623,000,876.384 ", -   , -   , 2.6373 ," 221,088,717.0852 ", -   , -   , 2.64 ," 221,088,717.0852 ", 0.2608 ," 21,865,834.0520 ", 238 ," 19,922,288,303.3203 "," -848,844.10 "," -848,844.10 ",-1.0%,17/11/2033,#N/A Field Not Applicable,#VALUE!,2033/11/17,2033,11,17,2033/11/17, -   ," 1,992,228.83 ", -   , 80.80 , 85.84 , 84.97 , CN , #N/A N/A , N ,CHINA 0.625 171133,,,,,N," 82,984,186.55 ", 7.43 , 0.63 , 7.63 , 6.1669 , -   , -   , 6.17 ,6.166927349,N
Corps,LGFV,中资企业离岸债券,GZGETH,XS2405718466,GZGETH 2.85 01/19/27,AFS,HOBJIFCRA451,USD," 39,000,000.00 "," 39,000,000.00 ", 0.39 , 0.39 ," 39,000,000.00 ", 0.39 ," 38,316,720.00 ", 0.965 ," 37,629,422.572 ", -   , -   , 2.8636 ," 111,678,629.7900 ", -   , -   , 2.86 ," 111,678,629.7900 ", 0.4659 ," 18,171,348.0000 ", 240 ," 9,350,728,179.0000 "," -683,280.00 "," -683,280.00 ",-1.8%,19/01/2027,#N/A Field Not Applicable,#VALUE!,2027/1/19,2027,1,19,2027/1/19, -   ," 935,072.82 ", -   , 100.00 , 100.00 , 98.25 , CN , #N/A N/A , N ,220288587 2.85 190127,,,,,Y," 38,316,720.00 ", 0.96 , 0.01 , 0.96 , 0.3697 , -   , -   , 0.37 ,0.369701551,N
Rates,Govs,外国政府/主权债券,T,US912828Z781,T 1 1/2 01/31/27,AFS,HOBJIFIRA001,USD," 20,000,000.00 "," 20,000,000.00 ", 0.20 , 0.20 ," 19,898,521.78 ", 0.20 ," 19,575,400.00 ", 1.014 ," 20,179,166.589 ", -   , -   , 1.9795 ," 39,388,469.5947 ", -   , -   , 1.98 ," 39,388,469.5947 ", 0.2936 ," 5,842,424.8775 ", 169 ," 3,354,604,471.7120 "," -323,121.78 "," -323,121.78 ",-1.6%,31/01/2027,#N/A Field Not Applicable,#VALUE!,2027/1/31,2027,1,31,2027/1/31, -   ," 335,460.45 ", -   , 97.81 , 99.49 , 97.88 , US , #N/A N/A , N ,USTN 1.5 310127,,,,,N," 19,575,400.00 ", 1.01 , 0.02 , 1.01 , 0.1985 , -   , -   , 0.20 ,0.198514876,N
Rates,China Sovereign,中国（含香港政府）主权债券,CHINA,HK0000789559,CHINA 0 5/8 11/17/33,AFS,HOBJIFIRA101,EUR," 271,600,000.00 "," 318,228,118.60 ", 2.72 , 3.18 ," 257,907,072.28 ", 2.58 ," 270,407,979.22 ", 7.431 ," 1,916,623,206.989 ", -   , -   , 3.4070 ," 878,700,335.6641 ", -   , -   , 3.41 ," 878,700,335.6641 ", 2.6863 ," 692,827,116.1676 ", 72 ," 18,587,321,949.6510 "," 12,500,906.94 "," 12,500,906.94 ",4.8%,17/11/2033,#N/A Field Not Applicable,#VALUE!,2033/11/17,2033,11,17,2033/11/17, -   ," 1,858,732.19 ", -   , 75.69 , 81.04 , 84.97 , CN , #N/A N/A , N ,CHINA 0.625 171133,,,,,N," 270,407,979.22 ", 7.43 , 0.63 , 7.63 , 20.0952 , -   , -   , 20.10 ,20.09523057,N
Fins,Foreign Banks,外资金融机构债券,BNP,US05581LAF67,BNP 5.335 06/12/29,AFS,HOBJIFCRA031,USD," 27,000,000.00 "," 27,000,000.00 ", 0.27 , 0.27 ," 26,406,642.63 ", 0.26 ," 27,723,870.00 ", 2.237 ," 59,060,794.134 ", -   , -   , 6.1421 ," 162,191,731.3721 ", -   , -   , 6.14 ," 162,191,731.3721 ", 5.6197 ," 148,397,752.8762 ", 52 ," 1,379,397,849.5878 "," 1,317,227.37 "," 1,317,227.37 ",5.0%,12/06/2029,2028/6/12,2028/6/12,2028/6/12,2028,6,12,2028/6/12, -   ," 137,939.78 ", -   , 96.57 , 97.80 , 102.68 , FR , MREL , N ,BNP-HO 5.335 120629 CALL,,,,,N," 27,723,870.00 ", 2.24 , 0.06 , 2.23 , 0.6201 , -   , -   , 0.62 ,0.620068898,N
Fins,Foreign Banks,外资金融机构债券,BAC,US06051GGL77,BAC 3.705 04/24/28,AFS,HOBJIFCRA031,USD," 26,000,000.00 "," 26,000,000.00 ", 0.26 , 0.26 ," 25,168,054.25 ", 0.25 ," 25,899,380.00 ", 1.223 ," 30,779,261.780 ", -   , -   , 5.2586 ," 132,349,376.9093 ", -   , -   , 5.26 ," 132,349,376.9093 ", 5.1891 ," 130,600,607.3781 ", 7 ," 174,876,953.1239 "," 731,325.75 "," 731,325.75 ",2.9%,24/04/2028,2027/4/24,2027/4/24,2027/4/24,2027,4,24,2027/4/24, -   ," 17,487.70 ", -   , 94.66 , 96.80 , 99.61 , US , TLAC , N ,BOA-HO 3.705 240428 CALL,,,,,N," 25,899,380.00 ", 1.22 , 0.02 , 1.22 , 0.3167 , -   , -   , 0.32 ,0.316736363,N
Fins,Foreign Banks,外资金融机构债券,UOBSP,AU3FN0096244,UOBSP Float 02/28/28,AFS,HOBJIFCRA531,AUD," 21,000,000.00 "," 14,009,959.03 ", 0.21 , 0.14 ," 14,009,959.03 ", 0.14 ," 14,033,505.80 ", 0.115 ," 1,607,292.367 ", -   , -   , 4.3820 ," 61,391,510.0180 ", -   , -   , 4.38 ," 61,391,510.0180 ", 4.1655 ," 58,358,246.1523 ", 22 ," 303,326,386.5654 "," 23,546.77 "," 23,546.77 ",0.2%,28/02/2028,#N/A Field Not Applicable,#VALUE!,2028/2/28,2028,2,28,2028/2/28, -   ," 30,332.64 ", -   , 100.00 , 100.00 , 100.17 , SG , #N/A N/A , Y ,UOB-SYD FRN+65 280228,,,,,N," 14,033,505.80 ", 0.11 , 0.00 , 0.11 , 0.0161 , -   , -   , 0.02 ,0.016099938,N
Corps,LGFV,中资企业离岸债券,HENANG,XS3138763225,HENANG 4.3 08/20/28,AFS,HOBJIFCRA051,USD," 10,000,000.00 "," 10,000,000.00 ", 0.10 , 0.10 ," 10,000,000.00 ", 0.10 ," 10,010,800.00 ", 2.391 ," 23,906,143.792 ", -   , -   , 4.3356 ," 43,356,116.7000 ", -   , -   , 4.34 ," 43,356,116.7000 ", 4.2728 ," 42,727,520.0000 ", 6 ," 62,859,670.0000 "," 10,800.00 "," 10,800.00 ",0.1%,20/08/2028,#N/A Field Not Applicable,#VALUE!,2028/8/20,2028,8,20,2028/8/20, -   ," 6,285.97 ", -   , 100.00 , 100.00 , 100.11 , CN , #N/A N/A , N ,74517147 4.3 200828,,,,,Y," 10,010,800.00 ", 2.39 , 0.07 , 2.39 , 0.2393 , -   , -   , 0.24 ,0.239319624,N
MBS,CMO,吉利美MBS,GNR,US38379UVF01,GNR 2016-87 AD,HTM,HOBJIFSTH076,USD," 17,200,772.82 "," 17,200,772.82 ", 0.17 , 0.17 ," 16,389,669.33 ", 0.16 ," 14,224,643.50 ", 3.300 ," 54,080,495.784 ", 4.280 ," 70,149,423.697 ", 2.5893 ," 42,437,185.0279 ", -   , -   , 2.59 ," 42,437,185.0279 ", 1.3701 ," 22,454,666.4648 ", 122 ," 1,998,251,856.3097 "," -2,165,025.83 "," -2,715,185.77 ",-16.0%,01/03/2058,2042/1/16,2042/1/16,2042/1/16,2042,1,16,2042/1/16, -   ," 199,825.19 ", -   , 98.48 , 95.28 , 82.70 , US , #N/A N/A , N ,GNMA-USA 2.35 160358 MBS,,,,,N," 14,224,643.50 ", 3.30 , 0.21 , 6.66 , 0.4694 , -   , -   , 0.47 ,0.469366256,N
